name,lat,lon,skipped
StartS,37.0546422,-8.1435003,0
StartP,37.0544842,-8.1443800,0
1,37.0631725,-8.1501976,0
1S,,,1
1P,,,1
2,37.0557198,-8.1454964,0
2S,,,1
2P,,,1
3,37.0656858,-8.1488320,0
3S,,,1
3P,,,1
4,37.0604468,-8.1562222,0
4S,,,1
4P,,,1
5,37.0499108,-8.1514817,0
5S,,,1
5P,,,1
FinishS,37.0495773,-8.1506899,0
FinishP,37.0498757,-8.1506020,0
