name,lat,lon,skipped
StartS,39.5065370,2.6690881,0
StartP,39.5071885,2.6674215,0
1,39.5143911,2.6800310,0
1S,,,1
1P,,,1
2,39.5177779,2.6716104,0
2S,,,1
2P,,,1
3,,,1
3S,39.5097256,2.6607867,0
3P,39.5098254,2.6605843,0
4,39.5177641,2.6715966,0
4S,,,1
4P,,,1
5,39.5097293,2.6607981,0
5S,,,1
5P,,,1
FinishS,39.5086825,2.6611628,0
FinishP,39.5087332,2.6614108,0
