name,lat,lon,skipped
StartS,37.0587127,-8.1282694,0
StartP,37.0594570,-8.1259079,0
1,37.0522195,-8.1244791,0
1S,,,1
1P,,,1
2,,,1
2S,37.0584385,-8.1277424,0
2P,37.0584420,-8.1277881,0
3,37.0506299,-8.1267992,0
3S,,,1
3P,,,1
4,37.0649118,-8.1229926,0
4S,,,1
4P,,,1
5,,,1
5S,,,1
5P,,,1
FinishS,37.0618166,-8.1305571,0
FinishP,37.0613028,-8.1297428,0
