name,lat,lon,skipped
StartS,39.5162983,2.6805644,0
StartP,39.5164426,2.6825292,0
1,39.4999094,2.6827431,0
1S,,,1
1P,,,1
2,,,1
2S,,,1
2P,,,1
3,,,1
3S,,,1
3P,,,1
4,,,1
4S,,,1
4P,,,1
5,,,1
5S,,,1
5P,,,1
FinishS,39.4998504,2.6826398,0
FinishP,39.4998501,2.6827728,0
