name,lat,lon,skipped
StartS,39.5197944,2.7138640,0
StartP,39.5191045,2.7150186,0
1,39.5120970,2.7050105,0
1S,,,1
1P,,,1
2,,,1
2S,,,1
2P,,,1
3,,,1
3S,,,1
3P,,,1
4,,,1
4S,,,1
4P,,,1
5,,,1
5S,,,1
5P,,,1
FinishS,39.5206669,2.7184616,0
FinishP,39.5207849,2.7182732,0
