name,lat,lon,skipped
StartS,37.0608562,-8.1337756,0
StartP,37.0612255,-8.1333899,0
1,37.0530228,-8.1276793,0
1S,,,1
1P,,,1
2,37.0609512,-8.1332064,0
2S,,,1
2P,,,1
3,37.0528708,-8.1248769,0
3S,,,1
3P,,,1
4,37.0586367,-8.1205884,0
4S,,,1
4P,,,1
5,37.0667481,-8.1284530,0
5S,,,1
5P,,,1
FinishS,37.0667326,-8.1299746,0
FinishP,37.0663979,-8.1298478,0
