name,lat,lon,skipped
StartS,39.5253057,2.6906989,0
StartP,39.5279144,2.6885163,0
1,39.5307948,2.6975697,0
1S,,,1
1P,,,1
2,,,1
2S,39.5244883,2.6875553,0
2P,39.5246964,2.6874257,0
3,,,1
3S,,,1
3P,,,1
4,,,1
4S,,,1
4P,,,1
5,,,1
5S,,,1
5P,,,1
FinishS,39.5253129,2.6907396,0
FinishP,39.5279233,2.6885275,0
