name,lat,lon,skipped
StartS,39.5243164,2.6931775,0
StartP,39.5252528,2.6925181,0
1,39.5267179,2.7039120,0
1S,,,1
1P,,,1
2,39.5241925,2.6909425,0
2S,,,1
2P,,,1
3,,,1
3S,,,1
3P,,,1
4,,,1
4S,,,1
4P,,,1
5,,,1
5S,,,1
5P,,,1
FinishS,39.5239443,2.6924959,0
FinishP,39.5251597,2.6917303,0
