leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m,to_is_gate,to_gate_s_lat_deg,to_gate_s_lon_deg,to_gate_p_lat_deg,to_gate_p_lon_deg
1,Start,1,37.054376101324515,-8.144528600138415,37.0662557,-8.1464948,352,1332.422973634641,1332.422973634641,0,,,,
2,1,2,37.0662557,-8.1464948,37.0564765,-8.1456095,176,1090.2311828335319,2422.654156468173,0,,,,
3,2,3,37.0564765,-8.1456095,37.0645363,-8.1461947,357,897.711944511419,3320.366100979592,0,,,,
4,3,4,37.0645363,-8.1461947,37.0615665,-8.1543051,245,791.7900202823677,4112.15612126196,0,,,,
5,4,5,37.0615665,-8.1543051,37.0500224,-8.1527485,174,1291.056003333552,5403.212124595512,0,,,,
6,5,Finish,37.0500224,-8.1527485,37.049882300002295,-8.151273899936655,97,131.78860496735953,5535.000729562872,0,,,,
