leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m
1,Start,1,37.0609029500545,-8.13201574972868,37.0584403,-8.1378787,242,587.9123002705579,587.9123002705579
2,1,2,37.0584403,-8.1378787,37.0590162,-8.1365853,61,131.42696686907576,719.3392671396336
3,2,3,37.0590162,-8.1365853,37.0584284,-8.1378735,240,131.6759958948644,851.015263034498
4,3,4,37.0584284,-8.1378735,37.06079495001903,-8.131951049874715,63,587.7282945573461,1438.7435575918441
5,4,5,37.06079495001903,-8.131951049874715,37.0592928,-8.1358835,244,386.8593517731973,1825.6029093650413
6,5,Finish,37.0592928,-8.1358835,37.06070085000996,-8.131863200011253,66,389.58351695215816,2215.1864263171997
