leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m,to_is_gate,to_gate_s_lat_deg,to_gate_s_lon_deg,to_gate_p_lat_deg,to_gate_p_lon_deg
1,Start,1,39.52320835043225,2.7047611510604384,39.5161943,2.6941,230,1201.8947230055808,1201.8947230055808,0,,,,
2,1,2,39.5161943,2.6941,39.5241893,2.7055584,48,1325.2653106949542,2527.1600337005348,0,,,,
3,2,Finish,39.5241893,2.7055584,39.5239537003766,2.7046705008945082,251,80.53599051484525,2607.69602421538,0,,,,
