leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m,to_is_gate,to_gate_s_lat_deg,to_gate_s_lon_deg,to_gate_p_lat_deg,to_gate_p_lon_deg
1,Start,1,37.06104085015609,-8.133582750469373,37.0530228,-8.1276793,150,1034.0782467802073,1034.0782467802073,0,,,,
2,1,2,37.0530228,-8.1276793,37.0609512,-8.1332064,331,1008.8446016937019,2042.9228484739092,0,,,,
3,2,3,37.0609512,-8.1332064,37.0528708,-8.1248769,141,1163.4561882797823,3206.3790367536913,0,,,,
4,3,4,37.0528708,-8.1248769,37.0586367,-8.1205884,31,745.5755937638584,3951.9546305175495,0,,,,
5,4,5,37.0586367,-8.1205884,37.0667481,-8.128453,322,1140.3854368416507,5092.3400673592005,0,,,,
6,5,Finish,37.0667481,-8.128453,37.066565250016865,-8.12991119986009,261,130.96851389173779,5223.308581250938,0,,,,
