leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m,to_is_gate,to_gate_s_lat_deg,to_gate_s_lon_deg,to_gate_p_lat_deg,to_gate_p_lon_deg
1,Start,1,39.52020470223893,2.691812159049391,39.5168347,2.6782043,252,1225.928413572065,1225.928413572065,0,,,,
2,1,2,39.5168347,2.6782043,39.5098808,2.6845889,145,947.5604657309265,2173.4888793029913,0,,,,
3,2,3,39.5098808,2.6845889,39.51176550003291,2.6978870502771315,80,1159.9027873565285,3333.3916666595196,1,39.5115458,2.6979747,39.5119852,2.6977994
4,3,4,39.51176550003291,2.6978870502771315,39.509876,2.6846625,260,1153.7904250336323,4487.182091693152,0,,,,
5,4,5,39.509876,2.6846625,39.5120788,2.6977739,78,1151.1509431896495,5638.333034882801,0,,,,
6,5,Finish,39.5120788,2.6977739,39.51275380013306,2.6978379500997107,4,75.25743802871357,5713.590472911515,0,,,,
