leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m,to_is_gate,to_gate_s_lat_deg,to_gate_s_lon_deg,to_gate_p_lat_deg,to_gate_p_lon_deg
1,Start,1,39.5234386501619,2.704214400416163,39.5161393,2.6941382,227,1185.6601735957354,1185.6601735957354,0,,,,
2,1,2,39.5161393,2.6941382,39.5241226,2.7056354,48,1326.8653045106423,2512.5254781063777,0,,,,
3,2,Finish,39.5241226,2.7056354,39.52337995268134,2.704365156876861,233,136.70935958732875,2649.2348376937066,0,,,,
