leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m,to_is_gate,to_gate_s_lat_deg,to_gate_s_lon_deg,to_gate_p_lat_deg,to_gate_p_lon_deg
1,Start,1,39.52634325027551,2.7153116010724716,39.5235159,2.7108818,230,493.14958734075964,493.14958734075964,0,,,,
2,1,2,39.5235159,2.7108818,39.526093,2.7155587,54,492.97948277263885,986.1290701133985,0,,,,
3,2,3,39.526093,2.7155587,39.5236041,2.710923,235,484.4392562801362,1470.5683263935348,0,,,,
4,3,4,39.5236041,2.710923,39.5261175,2.7155668,55,486.5692199080514,1957.137546301586,0,,,,
5,4,Finish,39.5261175,2.7155668,39.52663395002252,2.715653100013128,7,57.90167108700522,2015.0392173885914,0,,,,
