leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m,to_is_gate,to_gate_s_lat_deg,to_gate_s_lon_deg,to_gate_p_lat_deg,to_gate_p_lon_deg
1,Start,1,37.05395115920642,-8.145010262422375,37.0632473,-8.1502526,336,1133.532916884221,1133.532916884221,0,,,,
2,1,2,37.0632473,-8.1502526,37.0583145,-8.1564485,225,776.6047535663346,1910.1376704505556,0,,,,
3,2,3,37.0583145,-8.1564485,37.0498619,-8.1515129,155,1036.9288637757825,2947.0665342263383,0,,,,
4,3,4,37.0498619,-8.1515129,37.0582817,-8.1564779,335,1034.7324228206064,3981.7989570469445,0,,,,
5,4,5,37.0582817,-8.1564779,37.0498418,-8.151466,155,1038.5307341409311,5020.329691187875,0,,,,
6,5,Finish,37.0498418,-8.151466,37.04974965000143,-8.151128900026947,109,31.62241322355543,5051.952104411431,0,,,,
