leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m,to_is_gate,to_gate_s_lat_deg,to_gate_s_lon_deg,to_gate_p_lat_deg,to_gate_p_lon_deg
1,Start,1,39.50281755015593,2.6704180021060893,39.5032894,2.6564625,273,1198.4887916848938,1198.4887916848938,0,,,,
2,1,2,39.5032894,2.6564625,39.5052847,2.6680333,77,1017.2128319411241,2215.701623626018,0,,,,
3,2,Finish,39.5052847,2.6680333,39.5051142500316,2.6676537007323304,240,37.68105943556506,2253.382683061583,0,,,,
