leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m,to_is_gate,to_gate_s_lat_deg,to_gate_s_lon_deg,to_gate_p_lat_deg,to_gate_p_lon_deg
1,Start,1,37.04824405072428,-8.118062650368074,37.0533296,-8.1216768,330,650.1140117133425,650.1140117133425,0,,,,
2,1,2,37.0533296,-8.1216768,37.0481163502763,-8.117975100542822,150,666.2986104235437,1316.412622136886,1,37.0479558,-8.1182317,37.0482769,-8.1177185
3,2,3,37.0481163502763,-8.117975100542822,37.0533266,-8.1216547,331,665.0432114465104,1981.4558335833965,0,,,,
4,3,4,37.0533266,-8.1216547,37.0479623,-8.1182558,153,668.4129500053857,2649.868783588782,0,,,,
5,4,Finish,37.0479623,-8.1182558,37.04800750000217,-8.118099449991291,70,14.75797596762035,2664.6267595564027,0,,,,
