leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m
1,Start,1,37.05718830034591,-8.13838999867562,37.0536192,-8.1448617,235,698.0813856958406,698.0813856958406
2,1,Finish,37.0536192,-8.1448617,37.05700795003195,-8.137983250041088,58,717.3311321937053,1415.412517889546
