leg_id,from_mark,to_mark,from_lat_deg,from_lon_deg,to_lat_deg,to_lon_deg,bearing_deg,leg_length_m,cumulative_length_m,to_is_gate,to_gate_s_lat_deg,to_gate_s_lon_deg,to_gate_p_lat_deg,to_gate_p_lon_deg
1,Start,1,39.526269050007116,2.7153431500128136,39.524419,2.7092579,248,561.0067008653084,561.0067008653084,0,,,,
2,1,2,39.524419,2.7092579,39.5276145,2.7140048,49,540.3828687351148,1101.3895696004233,0,,,,
3,2,3,39.5276145,2.7140048,39.5243931,2.709233,229,543.8861783721967,1645.2757479726201,0,,,,
4,3,4,39.5243931,2.709233,39.5276243,2.7139867,49,543.4387830588713,2188.7145310314913,0,,,,
5,4,Finish,39.5276243,2.7139867,39.526828450016474,2.7149243999701866,138,119.57953340338624,2308.294064434878,0,,,,
