name,lat,lon,skipped
StartS,39.5292356,2.7146889,0
StartP,39.5286158,2.7149500,0
1,39.5209263,2.6968740,0
1S,,,1
1P,,,1
2,,,1
2S,,,1
2P,,,1
3,,,1
3S,,,1
3P,,,1
4,,,1
4S,,,1
4P,,,1
5,,,1
5S,,,1
5P,,,1
FinishS,39.5208565,2.6967936,0
FinishP,39.5208875,2.6968907,0
