name,lat,lon,skipped
StartS,37.0543948,-8.1439668,0
StartP,37.0543574,-8.1450904,0
1,37.0662557,-8.1464948,0
1S,,,1
1P,,,1
2,37.0564765,-8.1456095,0
2S,,,1
2P,,,1
3,37.0645363,-8.1461947,0
3S,,,1
3P,,,1
4,37.0615665,-8.1543051,0
4S,,,1
4P,,,1
5,37.0500224,-8.1527485,0
5S,,,1
5P,,,1
FinishS,37.0496768,-8.1512505,0
FinishP,37.0500878,-8.1512973,0
