name,lat,lon,skipped
StartS,39.5044197,2.7076265,0
StartP,39.5042238,2.7083829,0
1,39.4993578,2.7040631,0
1S,,,1
1P,,,1
2,,,1
2S,,,1
2P,,,1
3,,,1
3S,,,1
3P,,,1
4,,,1
4S,,,1
4P,,,1
5,,,1
5S,,,1
5P,,,1
FinishS,39.5121151,2.7076612,0
FinishP,39.5121753,2.7073763,0
