name,lat,lon,skipped
StartS,37.0601643,-8.1347131,0
StartP,37.0609396,-8.1339856,0
1,37.0529718,-8.1276415,0
1S,,,1
1P,,,1
2,37.0585023,-8.1218418,0
2S,,,1
2P,,,1
3,37.0669751,-8.1279349,0
3S,,,1
3P,,,1
4,37.0586491,-8.1206458,0
4S,,,1
4P,,,1
5,37.0667717,-8.1284630,0
5S,,,1
5P,,,1
FinishS,37.0666962,-8.1298583,0
FinishP,37.0663900,-8.1298633,0
