name,lat,lon,skipped
StartS,39.5266839,2.7142875,0
StartP,39.5263290,2.7147823,0
1,39.5205443,2.7112888,0
1S,,,1
1P,,,1
2,39.5232399,2.7161743,0
2S,,,1
2P,,,1
3,39.5205502,2.7112729,0
3S,,,1
3P,,,1
4,39.5232405,2.7161865,0
4S,,,1
4P,,,1
5,,,1
5S,,,1
5P,,,1
FinishS,39.5250383,2.7155315,0
FinishP,39.5248574,2.7149955,0
